,total_review_cnt,img_user,img_cnt
count,110914.0,110914.0,110914.0
mean,143.50539156463566,9.747380853634347,18.023513713327443
std,650.399755323771,31.541366445179055,43.67196604354483
min,2.0,2.0,6.0
25%,14.0,4.0,7.0
50%,37.0,5.0,11.0
75%,120.0,9.0,18.0
max,169965.0,8131.0,10047.0
