,total_review_cnt,img_user,img_cnt
count,4792357.0,4792357.0,4792357.0
mean,6.858941226623976,0.3692487850967697,0.6524906220467298
std,101.86504069045758,5.031239806370228,7.209273440942493
min,1.0,0.0,0.0
25%,1.0,0.0,0.0
50%,1.0,0.0,0.0
75%,3.0,0.0,0.0
max,169965.0,8131.0,10047.0
